Index,Spanish,English,Rating,Major,Minor,Gender,Quantity
810,multitud,crowd,2,1,1,2,1
811,maíz,corn,4,3,1,1,1
812,comparar,compare,4,2,1,,
813,poema,poem,4,3,8,2,1
814,cordel,string,2,3,6,1,1
815,campana,bell,2,3,11,2,1
816,depender,depend,2,2,1,,
817,carne,meat,4,3,1,2,1
818,frotar,rub,2,2,1,,
819,tubo,tube,2,3,2,1,1
820,famoso,famous,4,4,6,,
921,dólar,dollar,4,3,7,1,1
822,corriente,stream,4,3,4,2,1
823,miedo,fear,2,3,9,1,1
284,vista,sight,4,3,5,2,1
825,delgado,thin,4,4,2,,
826,triángulo,triangle,4,3,2,1,1
827,planeta,planet,4,3,4,2,1
828,prisa,hurry,2,3,10,2,1
829,jefe,chief,4,3,7,1,1
830,colonia,colony,4,3,5,2,1
831,reloj,clock,4,3,10,1,1
832,mina,mine,4,3,4,2,1
833,empate,draw,2,3,9,1,1
834,entrar,enter,2,2,1,,
835,importante,major,2,4,6,,
836,fresco,fresh,4,4,1,,
837,búsqueda,search,2,3,9,2,1
838,enviar,send,4,2,2,,
839,amarillo,yellow,4,4,1,,
840,pistola,gun,4,3,11,2,1
841,permitir,allow,2,2,1,,
842,imprimir,print,2,2,2,,
843,muerto,dead,2,4,6,,
844,lugar,spot,2,3,3,1,1
845,desierto,desert,2,3,4,1,1
846,traje,suit,4,3,2,1,1
847,actual,current,4,4,7,,
848,ascensor,elevator,2,3,5,1,1
840,rosa,rose,4,3,4,2,1
850,llegar,arrive,4,2,1,,
851,maestro,master,4,3,8,1,1
852,pista,track,2,3,5,2,1
853,padres,parents,2,1,1,1,2
854,orilla,shore,2,3,4,2,1
855,división,division,4,3,8,2,1
856,sábana,sheet,2,3,6,2,1
857,sustancia,substance,2,3,4,2,1
858,favorecer,to favor,2,2,2,,
859,conectar,connect,4,2,1,,
860,mensaje,message,2,3,9,1,1
861,pasar,spend,2,2,1,,
862,acorde,chord,2,3,8,1,1
863,grasa,fat,2,4,1,,
864,contento,glad,2,4,6,,
865,original,original,4,4,8,,
866,compartir,share,2,2,1,,
867,estación,station,4,3,3,2,1
868,papá,dad,4,1,1,1,1
869,pan,bread,2,3,1,1,1
870,cobrar,to charge for,2,2,1,,
871,adecuada,appropriate,2,4,6,,
872,barra,bar,2,3,6,2,1
873,oferta,offer,2,3,7,2,1
874,segmento,segment,4,3,8,1,1
875,esclavo,slave,2,3,7,1,1
876,pato,duck,2,3,4,1,1
877,instantánea,instant,2,4,7,,
878,mercado,market,4,3,3,1,1
879,grado,degree,2,3,8,1,1
880,poblar,populate,2,2,1,,
881,pollo,chicken,2,3,1,1,1
882,querido,dear,2,1,1,3,1
883,enemigo,enemy,2,3,11,1,1
884,responder,reply,2,2,1,,
885,bebida,drink,2,3,1,2,1
886,producirse,occur,2,2,2,,
887,apoyar,to support,2,2,1,,
888,discurso,speech,2,3,8,1,1
889,naturaleza,nature,2,3,4,2,1
890,alcance,scope,2,3,2,1,1
891,vapor,steam,2,3,4,1,1
892,movimiento,motion,4,3,5,1,1
893,camino,path,2,3,5,1,1
894,líquido,liquid,4,3,1,1,1
895,olvidar,forget,2,2,1,,
896,significado,meant,2,2,1,,
897,cociente,quotient,2,3,8,1,1
898,dientes,teeth,2,3,2,1,2
899,concha,shell,2,3,4,2,1
900,cuello,neck,2,3,2,1,1
901,oxígeno,oxygen,2,3,4,1,1
902,azúcar,sugar,2,3,1,1,1
903,muerte,death,2,3,10,2,1
904,bonito,pretty,4,4,1,,
905,habilidad,skill,2,3,8,2,1
906,mujeres,women,4,1,1,2,2
907,temporada,season,2,3,10,2,1
908,solución,solution,4,3,8,2,1
909,imán,magnet,2,3,8,1,1
910,plata,silver,2,3,4,2,1
911,gracias,thank,4,7,4,,
912,rama,branch,2,3,4,2,1
913,partido,match,2,3,9,1,1
914,sufijo,suffix,2,3,8,1,1
915,especialmente,especially,4,5,,,
916,higo,fig,2,3,1,1,1
917,tener miedo,afraid,2,4,6,,
918,enorme,huge,4,4,2,,
919,hermana,sister,4,1,1,2,1
920,acero,steel,2,3,4,1,1
921,discutir,discuss,2,2,1,,
922,adelante,forward,2,4,5,,
923,similar,similar,4,4,1,,
924,guiar,guide,2,2,2,,
925,experiencia,experience,2,3,7,2,1
926,puntuación,score,2,3,9,2,1
927,manzana,apple,4,3,1,2,1
928,comprado,bought,2,2,1,,
929,llevado,led,2,2,1,,
930,tirar,to throw,2,2,1,,
931,abrigo,coat,4,3,2,1,1
932,masa,mass,2,3,8,2,1
933,tarjeta,card,2,3,9,2,1
934,banda,band,2,3,9,2,1
935,cuerda,rope,2,3,6,2,1
936,deslizarse,to slide,2,2,2,,
937,ganar,win,2,2,1,,
938,soñar,to dream,2,2,2,,
939,noche,evening,4,3,10,2,1
940,condición,condition,4,3,9,2,1
941,alimentar,to feed,2,2,1,,
942,herramienta,tool,2,3,6,2,1
943,total,total,2,4,8,,
944,básico,basic,2,4,8,,
945,olor,smell,2,3,2,1,1
946,valle,valley,2,3,4,1,1
947,ni,nor,2,6,,,
948,doble,double,2,4,4,,
949,asiento,seat,2,3,6,1,1
950,continuar,continue,4,2,1,,
951,bloque,block,4,3,2,1,1
952,tabla,chart,2,3,8,2,1
953,sombrero,hat,4,3,2,1,1
954,vender,sell,2,2,1,,
955,éxito,success,2,3,7,1,1
956,empresa,company,2,3,7,2,1
957,restar,subtract,2,2,1,,
958,evento,event,2,3,9,1,1
959,particular,particular,4,4,8,,
960,acuerdo,deal,2,3,7,1,1
961,nadar,swim,4,2,1,,
962,plazo,term(time),2,3,10,1,1
963,opuesta,opposite,2,4,8,,
964,esposa,wife,2,1,1,2,1
965,zapato,shoe,2,3,2,1,1
966,hombro,shoulder,2,3,2,1,1
967,propagar,to spread,2,2,1,,
968,organizar,arrange,2,2,1,,
969,campamento,camp,2,3,3,1,1
970,inventar,invent,2,2,1,,
971,algodón,cotton,2,3,2,1,1
972,nacido,born,2,2,1,,
973,determinar,determine,4,2,1,,
974,el cuarto,quater,2,4,4,,
975,nueve,nine,4,4,4,,
976,camión,truck,2,3,5,1,1
977,ruido,noise,2,3,11,1,1
978,nivel,level,2,3,8,1,1
979,oportunidad,chance,2,3,9,2,1
980,reunir,gather,2,2,1,,
981,tienda,shop,4,3,3,2,1
982,estirar,to stretch,2,2,1,,
983,lanzar,to launch,2,2,1,,
984,brillo,shine,2,3,4,1,1
985,propiedad,property,2,3,6,2,1
986,columna,column,2,3,7,2,1
987,molécula,molecule,2,3,8,2,1
988,seleccionar,select,2,2,1,,
989,mal,wrong,2,4,8,,
990,gris,gray,2,4,2,,
991,repitir,to repeat,2,2,1,,
992,exigir,to demand,2,2,1,,
993,amplio,broad,2,4,2,,
994,preparar,prepare,4,2,1,,
995,sal,salt,2,3,1,2,1
996,nariz,nose,2,3,2,2,1
997,plural,plural,4,3,8,1,1
998,enojado,angry,2,4,6,,
999,reclamación,claim,2,3,7,2,1
1000,continente,continent,4,3,5,1,1
