Index,Spanish,English,Rating,Major,Minor,Gender,Quantity
809,preferir,rather,4,2,1,,
810,multitud,crowd,4,1,1,2,1
811,maíz,corn,4,3,1,1,1
812,comparar,compare,4,2,1,,
813,poema,poem,4,3,8,2,1
814,cordel,string,4,3,6,1,1
815,campana,bell,4,3,11,2,1
816,depender,to depend,4,2,1,,
817,carne,meat,4,3,1,2,1
818,frotar,rub,4,2,1,,
819,tubo,tube,4,3,2,1,1
820,famoso,famous,4,4,6,,
921,dólar,dollar,4,3,7,1,1
822,corriente,stream,4,3,4,2,1
823,miedo,fear,4,3,9,1,1
284,vista,sight,4,3,5,2,1
825,delgado,thin,4,4,2,,
826,triángulo,triangle,4,3,2,1,1
827,planeta,planet,4,3,4,2,1
828,prisa,hurry,4,3,10,2,1
829,jefe,chief,4,3,7,1,1
830,colonia,colony,4,3,5,2,1
831,reloj,clock,4,3,10,1,1
832,mina,mine,4,3,4,2,1
833,empate,draw,4,3,9,1,1
834,entrar,enter,4,2,1,,
835,importante,major,4,4,6,,
836,fresco,fresh,4,4,1,,
837,búsqueda,search,4,3,9,2,1
838,enviar,send,4,2,2,,
839,amarillo,yellow,4,4,1,,
840,rosa,rose,4,3,4,2,1
841,permitir,allow,4,2,1,,
842,imprimir,print,4,2,2,,
843,muerto,dead,4,4,6,,
844,lugar,spot,4,3,3,1,1
845,desierto,desert,4,3,4,1,1
846,traje,suit,4,3,2,1,1
847,actual,current,4,4,7,,
848,ascensor,elevator,4,3,5,1,1
840,rosa,rose,4,3,4,2,1
850,llegar,arrive,4,2,1,,
851,maestro,master,4,3,8,1,1
852,pista,track,4,3,5,2,1
853,padres,parents,4,1,1,1,2
854,orilla,shore,4,3,4,2,1
855,división,division,4,3,8,2,1
856,sábana,sheet,4,3,6,2,1
857,sustancia,substance,4,3,4,2,1
858,favorecer,to favor,4,2,2,,
859,conectar,connect,4,2,1,,
860,mensaje,message,4,3,9,1,1
861,pasar,spend,4,2,1,,
862,acorde,chord,4,3,8,1,1
863,grasa,fat,4,4,1,,
864,contento,glad,4,4,6,,
865,original,original,4,4,8,,
866,compartir,share,4,2,1,,
867,estación,station,4,3,3,2,1
868,papá,dad,4,1,1,1,1
869,pan,bread,4,3,1,1,1
870,cobrar,to charge for,4,2,1,,
871,adecuada,appropriate,4,4,6,,
872,barra,bar,4,3,6,2,1
873,oferta,offer,4,3,7,2,1
874,segmento,segment,4,3,8,1,1
875,esclavo,slave,4,3,7,1,1
876,pato,duck,4,3,4,1,1
877,instantáneo,instant,4,4,7,,
878,mercado,market,4,3,3,1,1
879,grado,degree,4,3,8,1,1
880,poblar,populate,4,2,1,,
881,pollo,chicken,4,3,1,1,1
882,querido,dear,4,1,1,3,1
883,enemigo,enemy,4,3,11,1,1
884,responder,reply,4,2,1,,
885,bebida,drink,4,3,1,2,1
886,producirse,occur,4,2,2,,
887,apoyar,to support,4,2,1,,
888,discurso,speech,4,3,8,1,1
889,naturaleza,nature,4,3,4,2,1
890,alcance,scope,4,3,2,1,1
891,vapor,steam,4,3,4,1,1
892,movimiento,motion,4,3,5,1,1
893,camino,path,4,3,5,1,1
894,líquido,liquid,4,3,1,1,1
895,olvidar,to forget,4,2,1,,
896,significado,meant,4,2,1,,
897,cociente,quotient,4,3,8,1,1
898,dientes,teeth,4,3,2,1,2
899,concha,shell,4,3,4,2,1
900,cuello,neck,4,3,2,1,1
901,oxígeno,oxygen,4,3,4,1,1
902,azúcar,sugar,4,3,1,1,1
903,muerte,death,4,3,10,2,1
904,bonito,pretty,4,4,1,,
905,habilidad,skill,4,3,8,2,1
906,mujeres,women,4,1,1,2,2
907,temporada,season,4,3,10,2,1
908,solución,solution,4,3,8,2,1
909,imán,magnet,4,3,8,1,1
910,plata,silver,4,3,4,2,1
911,Gracias!,Thank you!,4,7,3,,
912,rama,branch,4,3,4,2,1
913,partido,match,4,3,9,1,1
914,sufijo,suffix,4,3,8,1,1
915,especialmente,especially,4,5,,,
916,higo,fig,4,3,1,1,1
917,tener miedo,afraid,4,4,6,,
918,enorme,huge,4,4,2,,
919,hermana,sister,4,1,1,2,1
920,acero,steel,4,3,4,1,1
921,dólar,dollar,4,3,7,1,1
922,adelante,forward,4,4,5,,
923,similar,similar,4,4,1,,
924,guiar,guide,4,2,2,,
925,experiencia,experience,4,3,7,2,1
926,puntuación,score,4,3,9,2,1
927,manzana,apple,4,3,1,2,1
928,comprado,bought,4,2,1,,
929,llevado,led,4,2,1,,
930,tirar,to throw,4,2,1,,
931,abrigo,coat,4,3,2,1,1
932,masa,mass,4,3,8,2,1
933,tarjeta,card,4,3,9,2,1
934,banda,band,4,3,9,2,1
935,cuerda,rope,4,3,6,2,1
936,deslizarse,to slide,4,2,2,,
937,ganar,win,4,2,1,,
938,soñar,to dream,4,2,2,,
939,noche,evening,4,3,10,2,1
940,condición,condition,4,3,9,2,1
941,alimentar,to feed,4,2,1,,
942,herramienta,tool,4,3,6,2,1
943,total,total,4,4,8,,
944,básico,basic,4,4,8,,
945,olor,smell,4,3,2,1,1
946,valle,valley,4,3,4,1,1
947,ni,nor,4,6,,,
948,doble,double,4,4,4,,
949,asiento,seat,4,3,6,1,1
950,continuar,continue,4,2,1,,
951,bloque,block,4,3,2,1,1
952,tabla,chart,4,3,8,2,1
953,sombrero,hat,4,3,2,1,1
954,vender,sell,4,2,1,,
955,éxito,success,4,3,7,1,1
956,empresa,company,4,3,7,2,1
957,restar,subtract,4,2,1,,
958,evento,event,4,3,9,1,1
959,particular,particular,4,4,8,,
960,acuerdo,deal,4,3,7,1,1
961,nadar,swim,4,2,1,,
962,plazo,term(time),4,3,10,1,1
963,opuesta,opposite,4,4,8,,
964,esposa,wife,4,1,1,2,1
965,zapato,shoe,4,3,2,1,1
966,hombro,shoulder,4,3,2,1,1
967,propagar,to spread,4,2,1,,
968,organizar,arrange,4,2,1,,
969,campamento,camp,4,3,3,1,1
970,inventar,invent,4,2,1,,
971,algodón,cotton,4,3,2,1,1
972,nacido,born,4,2,1,,
973,determinar,determine,4,2,1,,
974,el cuarto,quater,4,4,4,,
975,nueve,nine,4,4,4,,
976,camión,truck,4,3,5,1,1
977,ruido,noise,4,3,11,1,1
978,nivel,level,4,3,8,1,1
979,oportunidad,chance,4,3,9,2,1
980,reunir,gather,4,2,1,,
981,tienda,shop,4,3,3,2,1
982,estirar,to stretch,4,2,1,,
983,lanzar,to launch,4,2,1,,
984,brillo,shine,4,3,4,1,1
985,propiedad,property,4,3,6,2,1
986,columna,column,4,3,7,2,1
987,molécula,molecule,4,3,8,2,1
988,seleccionar,select,4,2,1,,
989,mal,wrong,4,4,8,,
990,gris,gray,4,4,2,,
991,repitir,to repeat,4,2,1,,
992,exigir,to demand,4,2,1,,
993,amplio,broad,4,4,2,,
994,preparar,prepare,4,2,1,,
995,sal,salt,4,3,1,2,1
996,nariz,nose,4,3,2,2,1
997,plural,plural,4,3,8,1,1
998,enojado,angry,4,4,6,,
999,reclamación,claim,4,3,7,2,1
1000,continente,continent,4,3,5,1,1
1001,Cómo estás?,How are you?,4,7,2,,
1002,Me llamo/Mi nombre es,My name is,4,7,6,,
1003,Estoy bien.,I am fine.,4,7,2,,
1004,Hola,Hello,4,7,1,,
1005,Mucho gusto.,Nice to meet you.,4,7,3,,
1006,abecedario,alphabet,4,3,8,1,1
1007,Me trae la cuenta por favor?,Can I get the bill please?,4,7,5,,
1008,Me gustaría,I would like,4,7,3,,
1009,Gracias.,Thanks.,4,7,3,,
1010,mesero,waiter,4,3,7,1,1
1011,Cómo te llamas?,What is your name?,4,7,5,,
1012,Buenos días!,Good morning!,4,7,1,,
1013,Buenas tardes!,Good afternoon!,4,7,1,,
1014,Buenas noches!,Good evening!,4,7,8,,
1015,Bienvenido!,Welcome!,4,7,1,,
1016,Cómo te va?/Qué tal?,How is it going?,4,7,2,,
1017,Cómo te ha ido?,How’ve you been?,4,7,2,,
1018,Y tú?,And you?,4,7,2,,
1019,Así así./Más o menos.,So so.,4,7,2,,
1020,Qué pasa?,What’s happening?,4,7,2,,
1021,Qué haces?,What are you doing?,4,7,2,,
1022,De nada!,You’re welcome!,4,7,3,,
1023,Perdone!,Excuse me!,4,7,3,,
1024,Disculpe!,Sorry!,4,7,3,,
1025,Lo siento!,I am sorry!,4,7,3,,
1026,Puedo ayudarle?,Can I help you?,4,7,4,,
1027,Puede ayurdarme?,Can you help me?,4,7,4,,
1028,No hay problema.,No problem.,4,7,4,,
1029,Puede repetirlo?,Can you say that again?,4,7,4,,
1030,No entiendo!,I don’t understand!,4,7,4,,
1031,No (lo) sé.,I don’t know.,4,7,4,,
1032,No tengo ni idea.,I have no idea.,4,7,4,,
1033,No hablo español.,I don't speak Spanish.,4,7,4,,
1034,Estoy perdido.,I am lost.,4,7,4,,
1035,Qué significa …?,What does … mean?,4,7,4,,
1036,Mi español es malo,My Spanish is bad,4,7,4,,
1037,Puedes hablar más despacio?,Can you speak more slowly?,4,7,4,,
1038,Qué hora es?,What time is it?,4,7,5,,
1039,Dónde puedo comprar…?,Where can I buy…?,4,7,5,,
1040,Cuántos años tienes?,How old are you?,4,7,5,,
1041,De dónde viene?,Where are you from?,4,7,5,,
1042,Dónde vives?,Where do you live?,4,7,5,,
1043,Tienes hermanos o hermanas?,Do you have brothers or sisters?,4,7,5,,
1044,Cuánto cuesta eso?,How much is that?,4,7,5,,
1045,Qué es esto?,What is this?,4,7,5,,
1046,Entiende?/Comprende?,Do you understand?,4,7,5,,
1047,Hablas inglés?,Do you speak English?,4,7,5,,
1048,Dónde está ...?,Where is ...?,4,7,5,,
1049,(Yo) tengo … años,I am … years old.,4,7,6,,
1050,(Yo) soy de…,I come from …,4,7,6,,
1051,Tal vez.,Maybe.,4,7,6,,
1052,A veces.,Sometimes.,4,7,6,,
1053,Claro.,Of course.,4,7,6,,
1054,Diviértete!,Have fun!,4,7,7,,
1055,Buen viaje!,Have a good trip!,4,7,7,,
1056,Buen provecho!,Bon appetit!,4,7,7,,
1057,Muy bien!,Well done!,4,7,7,,
1058,Cuídate!,Take care!,4,7,7,,
1059,Felicitaciones!,Congratulations!,4,7,7,,
1060,Feliz Cumpleaños!,Happy birthday!,4,7,7,,
1061,Salud!,Cheers!Bless you!,4,7,7,,
1062,Adiós!,Good bye!,4,7,8,,
1063,Hasta luego!,See you later!,4,7,8,,
1064,Hasta pronto!,See you soon!,4,7,8,,
1065,Hasta mañana!,See you tomorrow!,4,7,8,,
1066,Nos vemos!,See you!,4,7,8,,
1067,Como siempre.,As always.,4,7,6,,
1068,cansado,tired,4,4,6,,
1069,enfermo,sick,4,4,6,,
1070,Todo bien.,All good.,4,7,6,,
1071,Te amo.,I love you.,4,7,7,,
1072,Buena suerte!,Good luck!,4,7,7,,
1073,Con mucho amor!,Lots of love!,4,7,7,,
1074,Los mejores deseos para…,Best wishes to...,4,7,7,,
1075,Feliz Navidad!,Merry Christmas!,4,7,7,,
1076,Feliz Año Nuevo!,Happy New Year!,4,7,7,,
1077,No se preocupe!,No worries!,4,7,6,,
1078,Quisiera …,I would like...,4,7,3,,
1079,allí,there,4,4,5,,
1080,billete,ticket,4,3,9,2,1
1081,Quieres algo para comer/beber?,Do you want something to eat/drink?,4,7,5,,
1082,entrada,appetizer,4,3,1,2,1
1083,plato principal,main dish,4,3,1,1,1
1084,postre,dessert,4,3,1,1,1
1085,sopa,soup,4,3,1,2,1
1086,ensalada,salad,4,3,1,2,1
1087,vino (tinto),wine,4,3,1,1,1
1088,cerveza,beer,4,3,1,2,1
1089,café,coffee,4,3,1,1,1
1090,Qué me recomienda?,What do you recommend?,4,7,5,,
1091,Soy vegetariano/a.,I'm a vegetarian.,4,7,6,,
1092,nuez,nut,4,3,1,2,1
1093,A qué hora?,What time?,4,7,5,,
1094,cuánto?,how long?,4,7,5,,
1095,Cómo se dice ... en español?,How do you say ... in Spanish?,4,7,5,,
